model output z time halo
GM1noBHs 3840 0.06 12.94 1
GM1noBHs 3712 0.10 12.51 1
GM1noBHs 3584 0.13 12.08 1
GM1noBHs 3456 0.17 11.65 1
GM1noBHs 3328 0.21 11.22 1
GM1noBHs 3200 0.25 10.79 1
GM1noBHs 3195 0.25 10.77 1
GM1noBHs 3072 0.29 10.35 1
GM1noBHs 2944 0.34 9.92 1
GM1noBHs 2816 0.39 9.49 1
GM1noBHs 2688 0.44 9.06 1
GM1noBHs 2560 0.50 8.63 1
GM1noBHs 2554 0.50 8.61 1
GM1noBHs 2432 0.56 8.20 1
GM1noBHs 2304 0.62 7.77 1
GM1noBHs 2176 0.70 7.34 1
GM1noBHs 2048 0.77 6.91 1
GM1noBHs 1920 0.86 6.48 1
GM1noBHs 1792 0.96 6.05 1
GM1noBHs 1739 1.00 5.87 1
GM1noBHs 1664 1.06 5.62 1
